Gene_symbol	Description
ADORA2L2	adenosine A2 receptor-like 2
ADORA3	adenosine A3 receptor
ADPRH	ADP-ribosylarginine hydrolase
ADPRT	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
ADPRTL1	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1
ADPRTL2	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2
ADPRTL3	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 3
ADPRTL4	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 4
ADPRTP1	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) pseudogene 1
ADPRTP2	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) pseudogene 2
ADRA1A	adrenergic, alpha-1A-, receptor (NOTE: redefinition of symbol)
ADRA1B	adrenergic, alpha-1B-, receptor
ADRA1D	adrenergic, alpha-1D-, receptor (NOTE: redefinition of symbol)
ADRA2A	adrenergic, alpha-2A-, receptor
ADRA2B	adrenergic, alpha-2B-, receptor
ADRA2C	adrenergic, alpha-2C-, receptor
ADRB1	adrenergic, beta-1-, receptor
ADRB2	adrenergic, beta-2-, receptor, surface
ADRB3	adrenergic, beta-3-, receptor
ADRBK1	adrenergic, beta, receptor kinase 1
ADRBK2	adrenergic, beta, receptor kinase 2
ADSL	adenylosuccinate lyase
ADSS	adenylosuccinate synthase
ADTB1L1	adaptin, beta 1-like 1
ADTB1L2	adaptin, beta 1-like 2
AEBP1	AE-binding protein 1
AEGL1	acidic epididymal glycoprotein-like 1
AEPLC	reserved
AES	amino-terminal enhancer of split
AEZ	acrodermatitis enteropathica, zinc-deficiency type
AF8T	AF8 temperature sensitivity complementing
AFA	ankyloblepharon filiforme adnatum
AFD1	acrofacial dysostosis 1, Nager type
AFG3L1	AFG3 (ATPase family gene 3, yeast)-like 1
AFG3L2	AFG3 (ATPase family gene 3, yeast)-like 2
AFM	afamin
AFP	alpha-fetoprotein
AGA	aspartylglucosaminidase
AGC1	aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122)
AGER	advanced glycosylation end product-specific receptor
AGL	amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)
AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
AGPS	alkylglycerone phosphate synthase
AGR2	anterior gradient 2 (Xenepus laevis) homolog
AGRN	agrin
AGRP	agouti (mouse) related protein
AGS1	Aicardi-Goutieres syndrome 1
AGTBP	angiotensin binding protein
AGTR1	angiotensin receptor 1
AGTR1B	angiotensin receptor 1B
AGTR2	angiotensin receptor 2
AGTRL1	angiotensin receptor-like 1
AGTRL2	angiotensin receptor-like 2
AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
AHCY	S-adenosylhomocysteine hydrolase
AHCYL1	S-adenosylhomocysteine hydrolase-like 1
AHDS	Allan-Herndon-Dudley syndrome
AHHR	aryl hydrocarbon hydroxylase regulator
AHNAK	AHNAK nucleoprotein (desmoyokin)
AHR	aryl hydrocarbon receptor
AHSG	alpha-2-HS-glycoprotein
AIC	Aicardi syndrome
AICDA	activation-induced cytidine deaminase
AIED	Aland island eye disease (Forsius-Eriksson ocular albinism, ocular albinism type 2)
AIF1	allograft inflammatory factor 1
AIH2	amelogenesis imperfecta 2, hypocalcification (autosomal dominant)
AIH3	amelogenesis imperfecta 3, hypomaturation or hypoplastic type
AIM1	absent in melanoma 1
AIM2	absent in melanoma 2
AIP	aryl hydrocarbon receptor-interacting protein
AIPL1	aryl hydrocarbon receptor-interacting protein-like 1
AIRE	autoimmune regulator (automimmune polyendocrinopathy candidiasis ectodermal dystrophy)
AK1	adenylate kinase 1
AK2	adenylate kinase 2
AK3	adenylate kinase 3
AK3P1	adenylate kinase 3 pseudogene 1
AK5	adenylate kinase 5
AK6	reserved
AKAP1	A kinase (PRKA) anchor protein 1
AKAP10	A kinase (PRKA) anchor protein 10
AKAP11	A kinase (PRKA) anchor protein 11
AKAP12	A kinase (PRKA) anchor protein (gravin) 12
AKAP13	A kinase (PRKA) anchor protein 13
AKAP2	A kinase (PRKA) anchor protein 2
AKAP3	A kinase (PRKA) anchor protein 3
AKAP4	A kinase (PRKA) anchor protein 4
AKAP5	A kinase (PRKA) anchor protein 5
AKAP6	A kinase (PRKA) anchor protein 6
AKAP7	A kinase (PRKA) anchor protein 7
AKAP8	A kinase (PRKA) anchor protein 8
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9
AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)
AKR1B11	aldo-keto reductase family 1, member B11 (aldose reductase-like)
AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)
AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)
AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)
AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
AKT1	v-akt murine thymoma viral oncogene homolog 1
AKT2	v-akt murine thymoma viral oncogene homolog 2
AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
ALAD	aminolevulinate, delta-, dehydratase
ALAS1	aminolevulinate, delta-, synthase 1
ALAS2	aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)
ALB	albumin
ALCAM	activated leucocyte cell adhesion molecule
ALDH1	aldehyde dehydrogenase 1, soluble
ALDH10	aldehyde dehydrogenase 10 (fatty aldehyde dehydrogenase)
ALDH2	aldehyde dehydrogenase 2, mitochondrial
ALDH3	aldehyde dehydrogenase 3
ALDH4	aldehyde dehydrogenase 4 (glutamate gamma-semialdehyde dehydrogenase; pyrroline-5-carboxylate dehydrogenase)
ALDH5	aldehyde dehydrogenase 5
ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)
ALDH6	aldehyde dehydrogenase 6
ALDH7	aldehyde dehydrogenase 7 (NOTE: redefinition of symbol)
ALDH8	aldehyde dehydrogenase 8
ALDH9	aldehyde dehydrogenase 9 (gamma-aminobutyraldehyde dehydrogenase, E3 isozyme)
ALDOA	aldolase A, fructose-bisphosphate
ALDOAP1	aldolase A, fructose-bisphosphate pseudogene 1
ALDOAP2	aldolase A, fructose-bisphosphate pseudogene 2
ALDOB	aldolase B, fructose-bisphosphate
ALDOC	aldolase C, fructose-bisphosphate
ALDRL1	aldehyde reductase (aldose reductase)-like 1
ALDRL2	aldehyde reductase (aldose reductase)-like 2
ALDRL3	aldehyde reductase (aldose reductase)-like 3
ALDRL4	aldehyde reductase (aldose reductase)-like 4
ALDRP	aldehyde reductase (aldose reductase) pseudogene
ALFN1	activator of liver function 1 (hepatic phenotype restoration inducing sequence)
ALK	anaplastic lymphoma kinase (Ki-1)
ALMS1	Alstrom syndrome 1
ALOX12	arachidonate 12-lipoxygenase
ALOX12B	arachidonate 12-lipoxygenase, 12R type
ALOX12P1	arachidonate 12-lipoxygenase pseudogene 1
ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2
ALOX15	arachidonate 15-lipoxygenase
ALOX15B	arachidonate 15-lipoxygenase, second type
ALOX15P	arachidonate 15-lipoxygenase pseudogene
ALOX5	arachidonate 5-lipoxygenase
ALOX5AP	arachidonate 5-lipoxygenase-activating protein
ALOXE3	arachidonate lipoxygenase 3
ALPI	alkaline phosphatase, intestinal
ALPL	alkaline phosphatase, liver/bone/kidney
ALPP	alkaline phosphatase, placental (Regan isozyme)
ALPPL2	alkaline phosphatase, placental-like 2
ALS2	amyotrophic lateral sclerosis 2 (juvenile)
ALS3	amyotrophic lateral sclerosis 3 (autosomal dominant)
ALS4	amyotrophic lateral sclerosis 4
ALS5	amyotrophic lateral sclerosis 5
ALTE	Ac-like transposable element
ALX3	aristaless-like homeobox 3
ALX4	aristaless-like homeobox 4
AMACR	alpha-methylacyl-CoA racemase
AMBN	ameloblastin, enamel matrix protein
AMBP	alpha-1-microglobulin/bikunin precursor
AMCD1	arthrogryposis multiplex congenital, distal, type 1
AMCD2B	arthrogryposis multiplex congenita, distal, type 2B
AMCN	arthrogryposis multiplex congenita, neurogenic
AMD1	S-adenosylmethionine decarboxylase 1
AMDM	acromesomelic dysplasia, Maroteaux type
AMDP1	S-adenosylmethionine decarboxylase pseudogene 1
AMELX	amelogenin (X chromosome, amelogenesis imperfecta 1)
AMELY	amelogenin (Y chromosome)
AMFR	autocrine motility factor receptor
AMH	anti-Mullerian hormone
AMHR2	anti-Mullerian hormone receptor, type II
AMLCR2	acute myeloid leukemia chromosome region 2
AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1
AMPD1	adenosine monophosphate deaminase 1 (isoform M)
AMPD2	adenosine monophosphate deaminase 2 (isoform L)
AMPD3	adenosine monophosphate deaminase (isoform E)
AMPH	amphiphysin (Stiff-Mann syndrome with breast cancer 128kD autoantigen)
AMT	aminomethyltransferase (glycine cleavage system protein T)
AMY1A	amylase, alpha 1A; salivary
AMY1B	amylase, alpha 1B; salivary
AMY1C	amylase, alpha 1C; salivary
AMY2A	amylase, alpha 2A; pancreatic
AMY2B	amylase, alpha 2B; pancreatic
AMYP1	amylase, alpha pseudogene 1
ANCR	Angelman syndrome chromosome region
ANG	angiogenin, ribonuclease, RNase A family, 5
ANGPT1	angiopoietin 1
ANGPT2	angiopoietin 2
ANGPT3	angiopoietin 3
ANGPT4	angiopoietin 4
ANGPTL1	angiopoietin-like 1
ANGPTL2	angiopoietin-like 2
ANGPTL3	angiopoietin-like 3
ANK1	ankyrin 1, erythrocytic
ANK2	ankyrin 2, neuronal
ANK3	ankyrin 3, node of Ranvier (ankyrin G)
ANKRA2	ankyrin repeat, family A (RFXANK-like), 2
ANKRD2	ankyrin repeat domain 2 (stretch responsive muscle)
ANKRD3	ankyrin repeat domain 3
ANKTM1	ankyrin-like with transmembrane domains 1
ANOP1	anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)
ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)
ANTP1	adenine nucleotide translocator pseudogene 1 (clone 29)
ANTP2	adenine nucleotide translocator pseudogene 2 (clone 7)
ANTP3	adenine nucleotide translocator pseudogene 3 (clone 13)
ANTP4	adenine nucleotide translocator pseudogene 4 (clone 9)
ANTP5	adenine nucleotide translocator pseudogene 5 (clone 19)
ANTP6	adenine nucleotide translocator pseudogene 6 (clone 3)
ANTP7	adenine nucleotide translocator pseudogene 7 (clone 2)
ANXA1	annexin A1
ANXA10	annexin A10
ANXA11	annexin A11
ANXA13	annexin A13
ANXA2	annexin A2
ANXA2P1	annexin A2 pseudogene 1
ANXA2P2	annexin A2 pseudogene 2
ANXA2P3	annexin A2 pseudogene 3
ANXA3	annexin A3
ANXA4	annexin A4
ANXA5	annexin A5
ANXA6	annexin A6
ANXA7	annexin A7
ANXA8	annexin A8
ANXA9	annexin A9
AOAH	acyloxyacyl hydrolase (neutrophil)
AOC2	amine oxidase, copper containing 2 (retina-specific)
AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)
AOM	arthroophthalmopathy, progressive (Stickler syndrome)
AOX1	aldehyde oxidase 1
AP1B1	adaptor-related protein complex 1, beta 1 subunit
AP1G1	adaptor-related protein complex 1, gamma 1 subunit
AP1G2	adaptor-related protein complex 1, gamma 2 subunit
AP1GBP1	AP1 gamma subunit binding protein 1
AP1M1	adaptor-related protein complex 1, mu 1 subunit
AP1M2	adaptor-related protein complex 1, mu 2 subunit
AP1S1	adaptor-related protein complex 1, sigma 1 subunit
AP1S2	adaptor-related protein complex 1, sigma 2 subunit
AP2A1	adaptor-related protein complex 2, alpha 1 subunit
AP2A2	adaptor-related protein complex 2, alpha 2 subunit
AP2B1	adaptor-related protein complex 2, beta 1 subunit
AP2M1	adaptor-related protein complex 2, mu 1 subunit
AP2S1	adaptor-related protein complex 2, sigma 1 subunit
AP3B1	adaptor-related protein complex 3, beta 1 subunit
AP3B2	adaptor-related protein complex 3, beta 2 subunit
AP3D1	adaptor-related protein complex 3, delta 1 subunit
AP3M1	adaptor-related protein complex 3, mu 1 subunit
AP3M2	adaptor-related protein complex 3, mu 2 subunit
AP3S2	adaptor-related protein complex 3, sigma 2 subunit
AP4B1	adaptor-related protein complex 4, beta 1 subunit
AP4E1	adaptor-related protein complex 4, epsilon 1 subunit
AP4M1	adaptor-related protein complex 4, mu 1 subunit
AP4S1	adaptor-related protein complex 4, sigma 1 subunit
APAF1	apoptotic protease activating factor
APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)
APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)
APBA3	amyloid beta (A4) precursor protein-binding, family A, member 3 (X11-like 2)
APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)
APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
APC	adenomatosis polyposis coli
APCS	amyloid P component, serum
APEH	N-acylaminoacyl-peptide hydrolase
APEX	APEX nuclease (multifunctional DNA repair enzyme)
APG12L	Apg12 (autophagy 12, S. cerevisiae)-like
APG5L	APG5 (autophagy 5, S. cerevisiae)-like
API5	apoptosis inhibitor 5
API5L1	API5-like 1
API6	apoptosis inhibitor 6
APLP1	amyloid beta (A4) precursor-like protein 1
APLP2	amyloid beta (A4) precursor-like protein 2
APOA1	apolipoprotein A-I
APOA2	apolipoprotein A-II
APOA4	apolipoprotein A-IV
APOB	apolipoprotein B (including Ag(x) antigen)
APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2
APOBER1	apolipoprotein B mRNA editing enzyme, regulatory polypeptide 2
APOC1	apolipoprotein C-I
APOC1P1	apolipoprotein C-I pseudogene 1
APOC2	apolipoprotein C-II
APOC3	apolipoprotein C-III
APOC4	apolipoprotein C-IV
APOD	apolipoprotein D
APOE	apolipoprotein E
APOEL1	apolipoprotein E-like 1
APOF	apolipoprotein F
APOH	apolipoprotein H (beta-2-glycoprotein I)
APOL	apolipoprotein L
APOL2	apolipoprotein L, 2
APP	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)
